color,num_voted_users,duration,gross,genres,Series_Title,num_critic_for_reviews,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,Released_Year,num_facebook_like,imdb_score,aspect_ratio
Color,886204,162.0,760505847.0, Action,Avatar ,723.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054.0,English,USA,"PG-13
",237000000.0,2009.0,33.0,7.9,
Color,471220,169.0,309404152.0, Action,Pirates of the Caribbean: At World's End ,302.0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238.0,English,USA,"PG-13
",300000000.0,2007.0,51.0,7.1,
Color,275868,148.0,200074175.0, Action,Spectre ,602.0,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994.0,English,UK,"PG-13
",245000000.0,2015.0,85.0,6.8,
Color,1144337,164.0,448130642.0, Action,The Dark Knight Rises ,813.0,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701.0,English,USA,"PG-13
",250000000.0,2012.0,164.0,8.5,
,8,,, Documentary,Star Wars: Episode VII - The Force Awakens             ,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,,,,,,,,7.1,
Color,212204,132.0,73058679.0, Action,John Carter ,462.0,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738.0,English,USA,"PG-13
",263700000.0,2012.0,24.0,6.6,
Color,383056,139.0,336530303.0, Action,Spider-Man 3 ,392.0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,USA,"PG-13
",258000000.0,2007.0,37.0,6.2,
Color,294810,100.0,200807262.0, Animation,Tangled ,324.0,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387.0,English,USA,"PG
",260000000.0,2010.0,29.0,7.8,
Color,462669,141.0,458991599.0, Action,Avengers: Age of Ultron ,635.0,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117.0,English,USA,"PG-13
",250000000.0,2015.0,118.0,7.5,
Color,321795,153.0,301956980.0, Adventure,Harry Potter and the Half-Blood Prince ,375.0,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973.0,English,UK,"PG
",250000000.0,2009.0,10.0,7.5,
Color,371639,151.0,330249062.0, Action,Batman v Superman: Dawn of Justice ,673.0,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018.0,English,USA,"PG-13
",250000000.0,2016.0,197.0,6.9,
Color,240396,154.0,200069408.0, Action,Superman Returns ,434.0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367.0,English,USA,"PG-13
",209000000.0,2006.0,39.0,6.1,
Color,330784,106.0,168368427.0, Action,Quantum of Solace ,403.0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243.0,English,UK,"PG-13
",200000000.0,2008.0,58.0,6.7,
Color,522040,151.0,423032628.0, Action,Pirates of the Caribbean: Dead Man's Chest ,313.0,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,USA,"PG-13
",225000000.0,2006.0,5.0,7.3,
Color,181792,150.0,89289910.0, Action,The Lone Ranger ,450.0,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,"PG-13
",215000000.0,2013.0,48.0,6.5,
Color,548573,143.0,291021565.0, Action,Man of Steel ,733.0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,"PG-13
",225000000.0,2013.0,118.0,7.2,
Color,149922,150.0,141614023.0, Action,The Chronicles of Narnia: Prince Caspian ,258.0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,"PG
",225000000.0,2008.0,28.0,6.6,
Color,995415,143.0,623279547.0, Action,The Avengers ,703.0,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722.0,English,USA,"PG-13
",220000000.0,2012.0,123.0,8.1,
Color,370704,136.0,241063875.0, Action,Pirates of the Caribbean: On Stranger Tides ,448.0,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,"PG-13
",250000000.0,2011.0,58.0,6.7,
Color,268154,106.0,179020854.0, Action,Men in Black 3 ,451.0,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,"PG-13
",225000000.0,2012.0,40.0,6.8,
Color,354228,144.0,255108370.0, Adventure,The Hobbit: The Battle of the Five Armies ,422.0,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802.0,English,New Zealand,"PG-13
",250000000.0,2014.0,65.0,7.5,
Color,451803,136.0,262030663.0, Action,The Amazing Spider-Man ,599.0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,"PG-13
",230000000.0,2012.0,56.0,7.0,
Color,211765,140.0,105219735.0, Action,Robin Hood ,343.0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,"PG-13
",200000000.0,2010.0,17.0,6.7,
Color,483540,161.0,258355354.0, Adventure,The Hobbit: The Desolation of Smaug ,509.0,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,"PG-13
",225000000.0,2013.0,83.0,7.9,
Color,149019,113.0,70083519.0, Adventure,The Golden Compass ,251.0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,USA,"PG-13
",180000000.0,2007.0,33.0,6.1,
Color,316018,187.0,218051260.0, Action,King Kong ,446.0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,New Zealand,"PG-13
",207000000.0,2005.0,37.0,7.2,
Color,793059,194.0,658672302.0, Drama,Titanic ,315.0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528.0,English,USA,"PG-13
",200000000.0,1997.0,26.0,7.7,
Color,272670,147.0,407197282.0, Action,Captain America: Civil War ,516.0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022.0,English,USA,"PG-13
",250000000.0,2016.0,72.0,8.2,
Color,202382,131.0,65173160.0, Action,Battleship ,377.0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,USA,"PG-13
",209000000.0,2012.0,44.0,5.9,
Color,418214,124.0,652177271.0, Action,Jurassic World ,644.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,USA,"PG-13
",150000000.0,2015.0,150.0,7.0,
Color,522030,143.0,304360277.0, Action,Skyfall ,750.0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498.0,English,UK,"PG-13
",200000000.0,2012.0,80.0,7.8,
Color,411164,127.0,373377893.0, Action,Spider-Man 2 ,300.0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303.0,English,USA,"PG-13
",200000000.0,2004.0,31.0,7.3,
Color,557489,130.0,408992272.0, Action,Iron Man 3 ,608.0,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187.0,English,USA,"PG-13
",200000000.0,2013.0,95.0,7.2,
Color,306320,108.0,334185206.0, Adventure,Alice in Wonderland ,451.0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736.0,English,USA,"PG
",200000000.0,2010.0,24.0,6.5,
Color,383427,104.0,234360014.0, Action,X-Men: The Last Stand ,334.0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912.0,English,Canada,"PG-13
",210000000.0,2006.0,43.0,6.8,
Color,235025,104.0,268488329.0, Animation,Monsters University ,376.0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,USA,"G
",200000000.0,2013.0,44.0,7.3,
Color,323207,150.0,402076689.0, Action,Transformers: Revenge of the Fallen ,366.0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439.0,English,USA,"PG-13
",200000000.0,2009.0,63.0,6.0,
Color,242420,165.0,245428137.0, Action,Transformers: Age of Extinction ,378.0,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918.0,English,USA,"PG-13
",210000000.0,2014.0,56.0,5.7,
Color,175409,130.0,234903076.0, Adventure,Oz the Great and Powerful ,525.0,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511.0,English,USA,"PG
",215000000.0,2013.0,60.0,6.4,
Color,321227,142.0,202853933.0, Action,The Amazing Spider-Man 2 ,495.0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,USA,"PG-13
",200000000.0,2014.0,41.0,6.7,
Color,264183,125.0,172051787.0, Action,TRON: Legacy ,469.0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665.0,English,USA,"PG
",170000000.0,2010.0,30.0,6.8,
Color,101178,106.0,191450875.0, Animation,Cars 2 ,304.0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283.0,English,USA,"G
",200000000.0,2011.0,10.0,6.3,
